handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,cost,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,additionalInfoDescription6,customTextField1,customTextCharLimit1,customTextMandatory1,customTextField2,customTextCharLimit2,customTextMandatory2,brand
product_313493c3-0340-5100-f29c-96910574bce8,Product,RIPPER XXX 125K DISPOSABLE: Sweet & Sour Burst (30ml),"<p>Features and Specifications:</p><p>Nicotine Level: 2% (20 mg/mL)<br>Vaping Mode: Adjustable (INSANE Mode / RICH Mode / SMOOTH Mode)<br>Coil: Next Generation Food Grade Dual Mesh Coil System<br>Puff Count: Approximately 125K<br>Juice: Ultra 30 ml Premium E-Liquid<br>Battery: 800 mAh, Long Lasting Type C Rechargeable<br>Battery Indicator: Available<br>Liquid Indicator: Available<br>Airflow: Adjustable<br>Drip Tip/Mouth Piece: Food Grade Soft Drip Tip, Ultra Fit to Lips<br>Portable: Easy to Use</p><p>Package Contents:</p><p>1 x Ripper XXX 125K Disposable</p>",4a8801_71de5dc8dc1447e49ed781cc49b52296~mv2.webp;4a8801_7111ea3e237e48c8ad827f551bb89a6b~mv2.webp;4a8801_1c440272ed69426e97db32dcbff3ce64~mv2.webp;4a8801_041fe29299cd481cac909131da0e2926~mv2.webp;4a8801_e4538ad319504b8787651380f77ccfd1~mv2.webp,Ripper XXX 125K,,,49.99,,true,PERCENT,0.0,InStock,,,Flavours,DROP_DOWN,Sweet & Sour Burst;Poppin Peach Raspberry;Watermelon Strawberry Kiwi Ice;Sour Patchy Ice;Hawaiian Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_77cc1baf-9c49-7f48-4563-bcfc9d20b653,Product,RIPPER XXX 125K DISPOSABLE: Hawaiian Red (30ml),"<p>Features and Specifications:</p><p>Nicotine Level: 2% (20 mg/mL)<br>Vaping Mode: Adjustable (INSANE Mode / RICH Mode / SMOOTH Mode)<br>Coil: Next Generation Food Grade Dual Mesh Coil System<br>Puff Count: Approximately 125K<br>Juice: Ultra 30 ml Premium E-Liquid<br>Battery: 800 mAh, Long Lasting Type C Rechargeable<br>Battery Indicator: Available<br>Liquid Indicator: Available<br>Airflow: Adjustable<br>Drip Tip/Mouth Piece: Food Grade Soft Drip Tip, Ultra Fit to Lips<br>Portable: Easy to Use</p><p>Package Contents:</p><p>1 x Ripper XXX 125K Disposable</p>",4a8801_e4538ad319504b8787651380f77ccfd1~mv2.webp;4a8801_71de5dc8dc1447e49ed781cc49b52296~mv2.webp;4a8801_7111ea3e237e48c8ad827f551bb89a6b~mv2.webp;4a8801_1c440272ed69426e97db32dcbff3ce64~mv2.webp;4a8801_041fe29299cd481cac909131da0e2926~mv2.webp,Ripper XXX 125K,,,49.99,,true,PERCENT,0.0,InStock,,,Flavours,DROP_DOWN,Hawaiian Red;Poppin Peach Raspberry;Sweet & Sour Burst;Watermelon Strawberry Kiwi Ice;Sour Patchy Ice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_9a3afc74-2d7b-9e3a-6c00-9200588bd86a,Product,RIPPER XXX 125K DISPOSABLE: Sour Patchy Ice (30ml),"<p>Features and Specifications:</p><p>Nicotine Level: 2% (20 mg/mL)<br>Vaping Mode: Adjustable (INSANE Mode / RICH Mode / SMOOTH Mode)<br>Coil: Next Generation Food Grade Dual Mesh Coil System<br>Puff Count: Approximately 125K<br>Juice: Ultra 30 ml Premium E-Liquid<br>Battery: 800 mAh, Long Lasting Type C Rechargeable<br>Battery Indicator: Available<br>Liquid Indicator: Available<br>Airflow: Adjustable<br>Drip Tip/Mouth Piece: Food Grade Soft Drip Tip, Ultra Fit to Lips<br>Portable: Easy to Use</p><p>Package Contents:</p><p>1 x Ripper XXX 125K Disposable</p>",4a8801_7111ea3e237e48c8ad827f551bb89a6b~mv2.webp;4a8801_71de5dc8dc1447e49ed781cc49b52296~mv2.webp;4a8801_1c440272ed69426e97db32dcbff3ce64~mv2.webp;4a8801_041fe29299cd481cac909131da0e2926~mv2.webp;4a8801_e4538ad319504b8787651380f77ccfd1~mv2.webp,Ripper XXX 125K,,,49.99,,true,PERCENT,0.0,InStock,,,Flavours,DROP_DOWN,Sour Patchy Ice;Poppin Peach Raspberry;Sweet & Sour Burst;Hawaiian Red;Watermelon Strawberry Kiwi Ice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_5268c2c9-1d0a-dbab-3f2a-6f66f9fd8ddc,Product,RIPPER XXX 125K DISPOSABLE: Poppin Peach Raspberry (30ml),"<p>Features and Specifications:</p><p>Nicotine Level: 2% (20 mg/mL)<br>Vaping Mode: Adjustable (INSANE Mode / RICH Mode / SMOOTH Mode)<br>Coil: Next Generation Food Grade Dual Mesh Coil System<br>Puff Count: Approximately 125K<br>Juice: Ultra 30 ml Premium E-Liquid<br>Battery: 800 mAh, Long Lasting Type C Rechargeable<br>Battery Indicator: Available<br>Liquid Indicator: Available<br>Airflow: Adjustable<br>Drip Tip/Mouth Piece: Food Grade Soft Drip Tip, Ultra Fit to Lips<br>Portable: Easy to Use</p><p>Package Contents:</p><p>1 x Ripper XXX 125K Disposable</p>",4a8801_1c440272ed69426e97db32dcbff3ce64~mv2.webp;4a8801_7111ea3e237e48c8ad827f551bb89a6b~mv2.webp;4a8801_71de5dc8dc1447e49ed781cc49b52296~mv2.webp;4a8801_e4538ad319504b8787651380f77ccfd1~mv2.webp;4a8801_041fe29299cd481cac909131da0e2926~mv2.webp,Ripper XXX 125K,,,49.99,,true,PERCENT,0.0,InStock,,,Flavours,DROP_DOWN,Poppin Peach Raspberry;Sour Patchy Ice;Sweet & Sour Burst;Watermelon Strawberry Kiwi Ice;Hawaiian Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_5c015642-1a3d-a162-3bea-b1f1250d7b94,Product,RIPPER XXX 125K DISPOSABLE: Watermelon Strawberry Kiwi Ice (30ml),"<p>Features and Specifications:</p><p>Nicotine Level: 2% (20 mg/mL)<br>Vaping Mode: Adjustable (INSANE Mode / RICH Mode / SMOOTH Mode)<br>Coil: Next Generation Food Grade Dual Mesh Coil System<br>Puff Count: Approximately 125K<br>Juice: Ultra 30 ml Premium E-Liquid<br>Battery: 800 mAh, Long Lasting Type C Rechargeable<br>Battery Indicator: Available<br>Liquid Indicator: Available<br>Airflow: Adjustable<br>Drip Tip/Mouth Piece: Food Grade Soft Drip Tip, Ultra Fit to Lips<br>Portable: Easy to Use</p><p>Package Contents:</p><p>1 x Ripper XXX 125K Disposable</p>",4a8801_041fe29299cd481cac909131da0e2926~mv2.webp;4a8801_1c440272ed69426e97db32dcbff3ce64~mv2.webp;4a8801_7111ea3e237e48c8ad827f551bb89a6b~mv2.webp;4a8801_71de5dc8dc1447e49ed781cc49b52296~mv2.webp;4a8801_e4538ad319504b8787651380f77ccfd1~mv2.webp,Ripper XXX 125K,,,49.99,,true,PERCENT,0.0,InStock,,,Flavours,DROP_DOWN,Watermelon Strawberry Kiwi Ice;Hawaiian Red;Poppin Peach Raspberry;Sweet & Sour Burst;Sour Patchy Ice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_9aa8cdd8-7bd0-6cfc-4856-37a29a629b0a,Product,STLTH x Geek Bar 80K Disposable Vape: Tropical Mango Ice (30mL),"<p>Each pack contains 1 disposable vape device.</p><p>Available in the standard 20 mg/mL nicotine strength.</p><p>Each STLTH X GEEK BAR Disposable holds 30 mL of e-Liquid.&nbsp;</p><p>The internal 820 mAh battery is rechargeable.</p><p>The STLTH X GEEK BAR Disposable with smart features and power. It’s built to last, with a massive 30mL e-Liquid capacity and a reliable 820mAh battery, making it useful for extended usage without the need for frequent recharges.</p><p>A vibrant digital display keeps you informed in real time, showing battery percentage, e-Liquid level, and current vaping mode with dynamic animations that react as you take a puff or charge the disposable. The triple-mode system, Off, Normal, and Pulse, can be adjusted easily using the airflow slider, giving you full control over intensity and strength of the draw.</p><p>Designed for a smooth and flavourful experience, this high-performance disposable delivers a consistently premium vape from start to finish.<br>&nbsp;</p>",4a8801_62ea9977276e4cb8b5857dede043586b~mv2.webp;4a8801_e743dcc9cded44a884648eeb777d3160~mv2.webp;4a8801_30c865e666d2485db1b8f7981e8bda95~mv2.webp;4a8801_271b600c5f454f68b96cee11fbcfc55c~mv2.webp;4a8801_16c04be02ee24aa8bc4f9e3bea561f71~mv2.webp,STLTH x GEEK BAR 80K,,,46.99,,true,PERCENT,0.0,InStock,,,Flavours,COLOR,#efd30d:Tropical Mango Ice;#f5ef09:Mango Peach Ice;#230de7:blue razz;#f7940e:Juicy Peach;#ef0606:Strawberry Kiwi Ice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_c9061784-ed7c-9fd9-7277-ce02441df721,Product,STLTH x Geek Bar 80K Disposable Vape: Strawberry Kiwi Ice (30mL),"<p>Each pack contains 1 disposable vape device.</p><p>Available in the standard 20 mg/mL nicotine strength.</p><p>Each STLTH X GEEK BAR Disposable holds 30 mL of e-Liquid.&nbsp;</p><p>The internal 820 mAh battery is rechargeable.</p><p>The STLTH X GEEK BAR Disposable with smart features and power. It’s built to last, with a massive 30mL e-Liquid capacity and a reliable 820mAh battery, making it useful for extended usage without the need for frequent recharges.</p><p>A vibrant digital display keeps you informed in real time, showing battery percentage, e-Liquid level, and current vaping mode with dynamic animations that react as you take a puff or charge the disposable. The triple-mode system, Off, Normal, and Pulse, can be adjusted easily using the airflow slider, giving you full control over intensity and strength of the draw.</p><p>Designed for a smooth and flavourful experience, this high-performance disposable delivers a consistently premium vape from start to finish.</p>",4a8801_30c865e666d2485db1b8f7981e8bda95~mv2.webp;4a8801_271b600c5f454f68b96cee11fbcfc55c~mv2.webp;4a8801_7cda1d50db4f4f719b1cd5528626fcdb~mv2.webp;4a8801_7098c7f4aea942b1b289a5894b246ebb~mv2.webp;4a8801_62ea9977276e4cb8b5857dede043586b~mv2.webp,STLTH x GEEK BAR 80K,,,46.99,,true,PERCENT,0.0,InStock,,,Flavours,COLOR,#ef0606:Strawberry Kiwi Ice;#f7940e:Juicy Peach;#d8bbf7:Blueberry Watermelon Ice;#2428e1:Wild Watermelon Ice;#efd30d:Tropical Mango Ice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_1382f161-c0bc-2b47-9357-d3af46d9b66a,Product,STLTH x Geek Bar 80K Disposable Vape: Mango Peach Ice (30mL),"<p>Each pack contains 1 disposable vape device.</p><p>Available in the standard 20 mg/mL nicotine strength.</p><p>Each STLTH X GEEK BAR Disposable holds 30 mL of e-Liquid.&nbsp;</p><p>The internal 820 mAh battery is rechargeable.</p><p>The STLTH X GEEK BAR Disposable with smart features and power. It’s built to last, with a massive 30mL e-Liquid capacity and a reliable 820mAh battery, making it useful for extended usage without the need for frequent recharges.</p><p>A vibrant digital display keeps you informed in real time, showing battery percentage, e-Liquid level, and current vaping mode with dynamic animations that react as you take a puff or charge the disposable. The triple-mode system, Off, Normal, and Pulse, can be adjusted easily using the airflow slider, giving you full control over intensity and strength of the draw.</p><p>Designed for a smooth and flavourful experience, this high-performance disposable delivers a consistently premium vape from start to finish.</p>",4a8801_e743dcc9cded44a884648eeb777d3160~mv2.webp;4a8801_62ea9977276e4cb8b5857dede043586b~mv2.webp;4a8801_271b600c5f454f68b96cee11fbcfc55c~mv2.webp;4a8801_8b93c9c96a97429bb286710ade43df95~mv2.jpg;4a8801_8be64cd7d8fe4b6aaee33c4e897bec81~mv2.webp,STLTH x GEEK BAR 80K,,,46.99,,true,PERCENT,0.0,InStock,,,Flavours,COLOR,#f5ef09:Mango Peach Ice;#efd30d:Tropical Mango Ice;#f7940e:Juicy Peach;#ff0f45:Strawberry Banana Ice;#ac0606:Cherry Classic Ice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_29ef5e6c-91d3-bef9-fc7e-5502b08c803d,Product,STLTH x Geek Bar 80K Disposable Vape: Juicy Peach (30mL),"<p>Each pack contains 1 disposable vape device.</p><p>Available in the standard 20 mg/mL nicotine strength.</p><p>Each STLTH X GEEK BAR Disposable holds 30 mL of e-Liquid.&nbsp;</p><p>The internal 820 mAh battery is rechargeable.</p><p>The STLTH X GEEK BAR Disposable with smart features and power. It’s built to last, with a massive 30mL e-Liquid capacity and a reliable 820mAh battery, making it useful for extended usage without the need for frequent recharges.</p><p>A vibrant digital display keeps you informed in real time, showing battery percentage, e-Liquid level, and current vaping mode with dynamic animations that react as you take a puff or charge the disposable. The triple-mode system, Off, Normal, and Pulse, can be adjusted easily using the airflow slider, giving you full control over intensity and strength of the draw.</p><p>Designed for a smooth and flavourful experience, this high-performance disposable delivers a consistently premium vape from start to finish.</p>",4a8801_271b600c5f454f68b96cee11fbcfc55c~mv2.webp;4a8801_30c865e666d2485db1b8f7981e8bda95~mv2.webp;4a8801_62ea9977276e4cb8b5857dede043586b~mv2.webp;4a8801_7098c7f4aea942b1b289a5894b246ebb~mv2.webp;4a8801_16c04be02ee24aa8bc4f9e3bea561f71~mv2.webp,STLTH x GEEK BAR 80K,,,46.99,,true,PERCENT,0.0,InStock,,,Flavours,COLOR,#f7940e:Juicy Peach;#ef0606:Strawberry Kiwi Ice;#f5ef09:Mango Peach Ice;#230de7:blue razz;#2428e1:Wild Watermelon Ice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_5fbfd26e-5c87-76d9-6bcf-99c6176ff659,Product,STLTH x Geek Bar 80K Disposable Vape: Cherry Classic Ice (30mL),"<p>Each pack contains 1 disposable vape device.</p><p>Available in the standard 20 mg/mL nicotine strength.</p><p>Each STLTH X GEEK BAR Disposable holds 30 mL of e-Liquid.&nbsp;</p><p>The internal 820 mAh battery is rechargeable.</p><p>The STLTH X GEEK BAR Disposable with smart features and power. It’s built to last, with a massive 30mL e-Liquid capacity and a reliable 820mAh battery, making it useful for extended usage without the need for frequent recharges.</p><p>A vibrant digital display keeps you informed in real time, showing battery percentage, e-Liquid level, and current vaping mode with dynamic animations that react as you take a puff or charge the disposable. The triple-mode system, Off, Normal, and Pulse, can be adjusted easily using the airflow slider, giving you full control over intensity and strength of the draw.</p><p>Designed for a smooth and flavourful experience, this high-performance disposable delivers a consistently premium vape from start to finish.</p>",4a8801_8be64cd7d8fe4b6aaee33c4e897bec81~mv2.webp;4a8801_16c04be02ee24aa8bc4f9e3bea561f71~mv2.webp;4a8801_e743dcc9cded44a884648eeb777d3160~mv2.webp;4a8801_271b600c5f454f68b96cee11fbcfc55c~mv2.webp;4a8801_30c865e666d2485db1b8f7981e8bda95~mv2.webp,STLTH x GEEK BAR 80K,,,46.99,,true,PERCENT,0.0,InStock,,,Flavours,COLOR,#ac0606:Cherry Classic Ice;#230de7:blue razz;#f5ef09:Mango Peach Ice;#f7940e:Juicy Peach;#61f927:strawberry kiwi ice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_8c4762dd-e5e9-c3a6-4f6c-c8b66ff1845c,Product,STLTH x Geek Bar 80K Disposable Vape: Blue Razz (30mL),"<p>Each pack contains 1 disposable vape device.</p><p>Available in the standard 20 mg/mL nicotine strength.</p><p>Each STLTH X GEEK BAR Disposable holds 30 mL of e-Liquid.&nbsp;</p><p>The internal 820 mAh battery is rechargeable.</p><p>The STLTH X GEEK BAR Disposable with smart features and power. It’s built to last, with a massive 30mL e-Liquid capacity and a reliable 820mAh battery, making it useful for extended usage without the need for frequent recharges.</p><p>A vibrant digital display keeps you informed in real time, showing battery percentage, e-Liquid level, and current vaping mode with dynamic animations that react as you take a puff or charge the disposable. The triple-mode system, Off, Normal, and Pulse, can be adjusted easily using the airflow slider, giving you full control over intensity and strength of the draw.</p><p>Designed for a smooth and flavourful experience, this high-performance disposable delivers a consistently premium vape from start to finish.</p><p>&nbsp;</p>",4a8801_16c04be02ee24aa8bc4f9e3bea561f71~mv2.webp;4a8801_8b93c9c96a97429bb286710ade43df95~mv2.jpg;4a8801_8be64cd7d8fe4b6aaee33c4e897bec81~mv2.webp;4a8801_e743dcc9cded44a884648eeb777d3160~mv2.webp;4a8801_271b600c5f454f68b96cee11fbcfc55c~mv2.webp,STLTH x GEEK BAR 80K,,,46.99,,true,PERCENT,0.0,InStock,,,Flavours,COLOR,#230de7:blue razz;#ff0f45:Strawberry Banana Ice;#f5ef09:Mango Peach Ice;#f7940e:Juicy Peach;#ac0606:Cherry Classic Ice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_fc0e623f-5d13-a38c-2025-5324ea6dd63b,Product,STLTH x Geek Bar 80K Disposable Vape: Blueberry Watermelon Ice (30mL),"<p>Each pack contains 1 disposable vape device.</p><p>Available in the standard 20 mg/mL nicotine strength.</p><p>Each STLTH X GEEK BAR Disposable holds 30 mL of e-Liquid.&nbsp;</p><p>The internal 820 mAh battery is rechargeable.</p><p>The STLTH X GEEK BAR Disposable with smart features and power. It’s built to last, with a massive 30mL e-Liquid capacity and a reliable 820mAh battery, making it useful for extended usage without the need for frequent recharges.</p><p>A vibrant digital display keeps you informed in real time, showing battery percentage, e-Liquid level, and current vaping mode with dynamic animations that react as you take a puff or charge the disposable. The triple-mode system, Off, Normal, and Pulse, can be adjusted easily using the airflow slider, giving you full control over intensity and strength of the draw.</p><p>Designed for a smooth and flavourful experience, this high-performance disposable delivers a consistently premium vape from start to finish.</p><p>&nbsp;</p>",4a8801_7cda1d50db4f4f719b1cd5528626fcdb~mv2.webp;4a8801_e743dcc9cded44a884648eeb777d3160~mv2.webp;4a8801_8b93c9c96a97429bb286710ade43df95~mv2.jpg;4a8801_8be64cd7d8fe4b6aaee33c4e897bec81~mv2.webp;4a8801_7098c7f4aea942b1b289a5894b246ebb~mv2.webp,STLTH x GEEK BAR 80K,,,46.99,,true,PERCENT,0.0,InStock,,,Flavours,COLOR,#d8bbf7:Blueberry Watermelon Ice;#ac0606:Cherry Classic Ice;#ff0f45:Strawberry Banana Ice;#f5ef09:Mango Peach Ice;#2428e1:Wild Watermelon Ice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_3c2227fa-c3b2-9267-39db-48c3c9960364,Product,STLTH x Geek Bar 80K Disposable Vape: Strawberry Banana Ice (30mL),"<p>Each pack contains 1 disposable vape device.</p><p>Available in the standard 20 mg/mL nicotine strength.</p><p>Each STLTH X GEEK BAR Disposable holds 30 mL of e-Liquid.&nbsp;</p><p>The internal 820 mAh battery is rechargeable.</p><p>The STLTH X GEEK BAR Disposable with smart features and power. It’s built to last, with a massive 30mL e-Liquid capacity and a reliable 820mAh battery, making it useful for extended usage without the need for frequent recharges.</p><p>A vibrant digital display keeps you informed in real time, showing battery percentage, e-Liquid level, and current vaping mode with dynamic animations that react as you take a puff or charge the disposable. The triple-mode system, Off, Normal, and Pulse, can be adjusted easily using the airflow slider, giving you full control over intensity and strength of the draw.</p><p>Designed for a smooth and flavourful experience, this high-performance disposable delivers a consistently premium vape from start to finish.<br>&nbsp;</p>",4a8801_30c865e666d2485db1b8f7981e8bda95~mv2.webp;4a8801_7098c7f4aea942b1b289a5894b246ebb~mv2.webp;4a8801_62ea9977276e4cb8b5857dede043586b~mv2.webp;4a8801_271b600c5f454f68b96cee11fbcfc55c~mv2.webp;4a8801_e743dcc9cded44a884648eeb777d3160~mv2.webp;4a8801_16c04be02ee24aa8bc4f9e3bea561f71~mv2.webp;4a8801_7cda1d50db4f4f719b1cd5528626fcdb~mv2.webp;4a8801_8be64cd7d8fe4b6aaee33c4e897bec81~mv2.webp;4a8801_8b93c9c96a97429bb286710ade43df95~mv2.jpg,STLTH x GEEK BAR 80K,,,46.99,,true,PERCENT,0.0,InStock,,,Flavours,COLOR,#ff0f45:Strawberry Banana Ice;#d8bbf7:Blueberry Watermelon Ice;#230DE7:blue razz;#ac0606:Cherry Classic Ice;#f7940e:Juicy Peach;#f5ef09:Mango Peach Ice;#ef0606:Strawberry Kiwi Ice;#efd30d:Tropical Mango Ice;#2428e1:Wild Watermelon Ice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_119fd94e-7ba3-639c-9b08-292689332d60,Product,STLTH x Geek Bar 80K Disposable Vape: Wild Watermelon Ice (30mL),"<p>Each pack contains 1 disposable vape device.</p><p>Available in the standard 20 mg/mL nicotine strength.</p><p>Each STLTH X GEEK BAR Disposable holds 30 mL of e-Liquid.&nbsp;</p><p>The internal 820 mAh battery is rechargeable.</p><p>The STLTH X GEEK BAR Disposable with smart features and power. It’s built to last, with a massive 30mL e-Liquid capacity and a reliable 820mAh battery, making it useful for extended usage without the need for frequent recharges.</p><p>A vibrant digital display keeps you informed in real time, showing battery percentage, e-Liquid level, and current vaping mode with dynamic animations that react as you take a puff or charge the disposable. The triple-mode system, Off, Normal, and Pulse, can be adjusted easily using the airflow slider, giving you full control over intensity and strength of the draw.</p><p>Designed for a smooth and flavourful experience, this high-performance disposable delivers a consistently premium vape from start to finish.<br>&nbsp;</p>",4a8801_7098c7f4aea942b1b289a5894b246ebb~mv2.webp;4a8801_62ea9977276e4cb8b5857dede043586b~mv2.webp;4a8801_30c865e666d2485db1b8f7981e8bda95~mv2.webp;4a8801_271b600c5f454f68b96cee11fbcfc55c~mv2.webp;4a8801_8be64cd7d8fe4b6aaee33c4e897bec81~mv2.webp;4a8801_7cda1d50db4f4f719b1cd5528626fcdb~mv2.webp;4a8801_16c04be02ee24aa8bc4f9e3bea561f71~mv2.webp;4a8801_e743dcc9cded44a884648eeb777d3160~mv2.webp;4a8801_8b93c9c96a97429bb286710ade43df95~mv2.jpg,STLTH x GEEK BAR 80K,,,46.99,,true,PERCENT,0.0,InStock,,,Flavours,COLOR,#2428E1:Wild Watermelon Ice;#EFD30D:Tropical Mango Ice;#EF0606:Strawberry Kiwi Ice;#F5EF09:Mango Peach Ice;#F7940E:Juicy Peach;#AC0606:Cherry Classic Ice;#8CB1EF:Bluerazz Ice;#D8BBF7:Blueberry Watermelon Ice;#FF0F45:Strawberry Banana Ice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_68e76a75-5d1c-22a6-f322-dfcaecd800d7,Product,Suavae-Watermelon,<p>Size:&nbsp;30ml</p><p>&nbsp;</p><p>Nicotine Strength:&nbsp;10mg</p>,32f435_f02c5d9760384120b81fd2cc3a381df1~mv2.webp,E-liquide,,,33.99,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_a03fc6d2-ae2d-32d6-d184-fd1ffbb17a6a,Product,Suavae-Strawberry,<p>Size:&nbsp;30ml</p><p>&nbsp;</p><p>Nicotine Strength:&nbsp;10mg</p>,32f435_f02c5d9760384120b81fd2cc3a381df1~mv2.webp,E-liquide,,,33.99,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_908ba4b5-3585-cb7e-9a17-ea369196919f,Product,Suavae-Raspberry,<p>Size:&nbsp;30ml</p><p>&nbsp;</p><p>Nicotine Strength:&nbsp;10mg</p>,32f435_e6d243c09bdc4799ae91ab672bee7298~mv2.webp,E-liquide,,,33.99,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_b9fe3182-4379-8374-a61e-39756916c7f2,Product,Suavae-tangerine,<p>Size:&nbsp;30ml</p><p>&nbsp;</p><p>Nicotine Strength:&nbsp;10mg</p>,32f435_8b2becbb0cbc4c1bb2772be897399f54~mv2.webp,E-liquide,,,33.99,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_fecfe293-1187-3dda-84c8-b93b603fdd41,Product,Suavae-Pomegranate,<p>Size:&nbsp;30ml</p><p>&nbsp;</p><p>Nicotine Strength:&nbsp;10mg</p>,32f435_4333f0e3fb9f4e4aa039432410a4409a~mv2.webp,E-liquide,,,33.99,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_a1762a85-cb7d-0570-ae9a-811ee9dc422c,Product,Suavae-Pineapple,<p>Size:&nbsp;30ml</p><p>&nbsp;</p><p>Nicotine Strength:&nbsp;10mg</p>,32f435_6d32936a115f43eca4600659eeb3a9c2~mv2.webp,E-liquide,,,33.99,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_4a00387e-a78d-3c2c-142f-6b3e10b0426e,Product,Suavae-Mango,<p>Size:&nbsp;30ml</p><p>&nbsp;</p><p>Nicotine Strength:&nbsp;10mg</p>,32f435_d22cf61e7f474780a5e01ee53b4da420~mv2.webp,E-liquide,,,33.99,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_f71ac3da-35cd-8a28-4895-af2383e65e97,Product,Suavae-Ice,<p>Size:&nbsp;30ml</p><p>&nbsp;</p><p>Nicotine Strength:&nbsp;10mg</p>,32f435_360963fef06c49f581e1ef15ab59be19~mv2.webp,E-liquide,,,33.99,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_93971937-de76-ea72-70b5-6ebbf092b894,Product,Suavae-Honeydew,<p>Size:&nbsp;30ml</p><p>&nbsp;</p><p>Nicotine Strength:&nbsp;10mg</p>,32f435_6771306991da4d04bac714c3a3561633~mv2.webp,E-liquide,,,33.99,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_8b2752a0-25c3-c2f4-fb4c-bc0bd3a7c7e6,Product,Suavae-Grape,<p>Size:&nbsp;30ml</p><p>&nbsp;</p><p>Nicotine Strength:&nbsp;10mg</p>,32f435_3454c7c85f224de4b7293944ded2abd4~mv2.webp,E-liquide,,,33.99,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_56eb8960-d0dd-2fc1-0660-2a4c493f2747,Product,Suavae-Apple,<p>Size:&nbsp;30ml</p><p>&nbsp;</p><p>Nicotine Strength:&nbsp;10mg</p>,32f435_b400a13ec63e422788c5f91c7c82d8e6~mv2.webp,E-liquide,,,33.99,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_619188a0-aa96-e491-ec74-9593c9abcedb,Product,STLTH Salt-Peach Blue Razz Ice,<p>Size:&nbsp;30ml</p><p>&nbsp;</p><p>Nicotine Strength:&nbsp;10mg</p>,32f435_31d44cf2bb72468e937a641bb34dd832~mv2.webp,E-liquide,,,33.99,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_ccb6f4c2-5ae4-3fb1-13ea-27f074fe6d7a,Product,STLTH Salt-Hawaiian Mist Ice,<p>Size:&nbsp;30ml</p><p>&nbsp;</p><p>Nicotine Strength:&nbsp;10mg</p>,32f435_4231dfe0cd8040eeb5f2f9642b9dac43~mv2.webp,E-liquide,,,33.99,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
